Experiment File Name,Well,Sample Name,Target Name,Ct
ABI7500ExperimentName_,B12,NTC,FluAB,Undetermined
ABI7500ExperimentName_,B12,NTC,MS2,23.89549446
ABI7500ExperimentName_,B12,NTC,RSV,Undetermined
ABI7500ExperimentName_,C1,Sample,C19,Undetermined
ABI7500ExperimentName_,C1,Sample,FluAB,Undetermined
ABI7500ExperimentName_,C1,Sample,MS2,23.74031067
ABI7500ExperimentName_,C1,Sample,RSV,Undetermined
ABI7500ExperimentName_,C2,Sample,C19,
ABI7500ExperimentName_,C2,Sample,FluAB,
ABI7500ExperimentName_,C2,Sample,MS2,
ABI7500ExperimentName_,C2,Sample,RSV,
ABI7500ExperimentName_,C3,Sample,C19,
ABI7500ExperimentName_,C3,Sample,FluAB,
ABI7500ExperimentName_,C3,Sample,MS2,
ABI7500ExperimentName_,C3,Sample,RSV,
ABI7500ExperimentName_,C4,Sample,C19,Undetermined
ABI7500ExperimentName_,C4,Sample,FluAB,Undetermined
ABI7500ExperimentName_,C4,Sample,MS2,24.20595741
ABI7500ExperimentName_,C4,Sample,RSV,Undetermined
ABI7500ExperimentName_,C5,Sample,C19,Undetermined
ABI7500ExperimentName_,C5,Sample,FluAB,Undetermined
ABI7500ExperimentName_,C5,Sample,MS2,24.78486252
ABI7500ExperimentName_,C5,Sample,RSV,Undetermined
ABI7500ExperimentName_,C6,Sample,C19,Undetermined
ABI7500ExperimentName_,C6,Sample,FluAB,Undetermined
ABI7500ExperimentName_,C6,Sample,MS2,24.1778183
ABI7500ExperimentName_,C6,Sample,RSV,Undetermined
ABI7500ExperimentName_,C7,Sample,C19,Undetermined
ABI7500ExperimentName_,C7,Sample,FluAB,Undetermined
ABI7500ExperimentName_,C7,Sample,MS2,23.38303375
ABI7500ExperimentName_,C7,Sample,RSV,Undetermined
ABI7500ExperimentName_,C8,Sample,C19,
ABI7500ExperimentName_,C8,Sample,FluAB,
ABI7500ExperimentName_,C8,Sample,MS2,
ABI7500ExperimentName_,C8,Sample,RSV,
ABI7500ExperimentName_,C9,Sample,C19,
ABI7500ExperimentName_,C9,Sample,FluAB,
ABI7500ExperimentName_,C9,Sample,MS2,
ABI7500ExperimentName_,C9,Sample,RSV,
ABI7500ExperimentName_,C10,Sample,C19,Undetermined
ABI7500ExperimentName_,C10,Sample,FluAB,Undetermined
ABI7500ExperimentName_,C10,Sample,MS2,24.41630936
ABI7500ExperimentName_,C10,Sample,RSV,Undetermined
ABI7500ExperimentName_,C11,Sample,C19,Undetermined
ABI7500ExperimentName_,C11,Sample,FluAB,Undetermined
ABI7500ExperimentName_,C11,Sample,MS2,25.05418396
ABI7500ExperimentName_,C11,Sample,RSV,Undetermined
ABI7500ExperimentName_,D1,Sample,C19,Undetermined
ABI7500ExperimentName_,D1,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D1,Sample,MS2,23.77577591
ABI7500ExperimentName_,D1,Sample,RSV,Undetermined
ABI7500ExperimentName_,D2,Sample,C19,Undetermined
ABI7500ExperimentName_,D2,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D2,Sample,MS2,24.97425842
ABI7500ExperimentName_,D2,Sample,RSV,Undetermined
ABI7500ExperimentName_,D3,Sample,C19,Undetermined
ABI7500ExperimentName_,D3,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D3,Sample,MS2,24.30458069
ABI7500ExperimentName_,D3,Sample,RSV,Undetermined
ABI7500ExperimentName_,D4,Sample,C19,Undetermined
ABI7500ExperimentName_,D4,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D4,Sample,MS2,23.39680099
ABI7500ExperimentName_,D4,Sample,RSV,Undetermined
ABI7500ExperimentName_,D5,Sample,C19,Undetermined
ABI7500ExperimentName_,D5,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D5,Sample,MS2,23.88350487
ABI7500ExperimentName_,D5,Sample,RSV,Undetermined
ABI7500ExperimentName_,D6,Sample,C19,Undetermined
ABI7500ExperimentName_,D6,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D6,Sample,MS2,23.08080292
ABI7500ExperimentName_,D6,Sample,RSV,Undetermined
ABI7500ExperimentName_,D7,Sample,C19,Undetermined
ABI7500ExperimentName_,D7,Sample,FluAB,Undetermined
ABI7500ExperimentName_,D7,Sample,MS2,23.7460289
